,nw1,nw2,nw3,nw4,nw 4b,nw5,nw6,nw7,nw8,nw8b,nw9,nw10,nw11,nw13,ceh 1,ceh2,ceh3,ceh4,ceh5,ceh6,ceh7,ceh8,ceh9,ceh10,ceh11,ceh13,ceh14,ceh15,ceh16,ceh17,ceh18,ceh19,ceh20,ceh21,ceh22,ceh23,ceh24,ceh25,ceh26,ceh27,ceh28,ceh30,ceh31,Ceh32,ceh33,ceh34,ceh36,ceh37,ceh39,ceh40,ceh41,ceh42,WMC1,WMC2,wmc3,wmc4,L7,D5,D6,D7,D8,D9,D10,D15,D17,D25,D38,D41,T41a,T41b,T41c,T41d,D43,D44,FE1,FE2,FE3,FE4,LIS1,llyn rhos
2023-04-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-05-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,interpolated,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-06-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-07-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-08-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-09-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-10-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-11-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2023-12-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-01-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-02-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-03-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated
2024-04-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-05-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-06-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-07-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,interpolated
2024-08-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-09-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-10-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-11-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2024-12-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-01-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-02-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-03-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-04-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-05-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-06-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-07-01,measured,measured,interpolated,measured,measured,measured,interpolated,interpolated,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-08-01,measured,measured,missing,measured,measured,measured,missing,missing,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,interpolated,measured,measured,measured,missing,measured,measured,missing,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,interpolated,measured,interpolated,measured,measured,measured,measured,measured,missing,measured,interpolated,measured,interpolated,measured,measured,measured,interpolated,measured,measured,measured,measured,measured,measured
2025-09-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-10-01,measured,measured,interpolated,measured,measured,measured,interpolated,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,interpolated,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,interpolated,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-11-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2025-12-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2026-01-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
2026-02-01,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,missing,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,missing,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured,measured
